fen,score
r1b1k2r/pppp1ppp/2n4n/2q1p3/4P3/1B6/PPP2PPP/RNBQ1RK1 b kq - 1 8,-116.0
r2q1rk1/2p3pp/2n1bn2/pp2p1N1/3pP3/P2P2PP/1PPQN1B1/1K1R3R b - - 1 16,139.0
r2q1rk1/pp1n1ppp/5n2/2bN4/8/4P3/PP3PPP/R1BQK1NR w KQ - 1 10,68.0
3r1rk1/3P1p1p/p1B1p1p1/4Q3/1p1P4/8/PPP2q1P/1K1R3R w - - 0 21,635.0
2k2r2/1p6/2p2r2/p2p2pp/P1PNp1n1/1P2P1P1/3PQP1q/R3KR2 w Q - 1 24,-417.0
r1bqkbnr/pppp1ppp/2n5/8/2B1Pp2/5N2/PPPP2PP/RNBQK2R b KQkq - 3 4,88.0
rn1r2k1/ppp1b1pp/4pn2/4N3/4P3/2N5/PPP2PPP/R1B2RK1 b - - 1 10,-125.0
2k2b1r/pbp3p1/1pP1p3/1Q1r1p2/3P1nPp/4R2P/PP6/2R3K1 w - - 1 29,738.0
r2q1rk1/bpp2ppp/p1npbn2/4p3/1PB1P3/P1N2N1P/2PPQPP1/R1B2RK1 w - - 3 10,-43.0
r1b1k2r/pppnqpb1/6pp/8/3PBPnP/1PP1B1PN/P1Q1P3/R3K2R b KQkq - 0 13,725.0
8/pp3pkp/8/3r4/8/KP6/P1r2PPP/R4R2 w - - 3 26,-11.0
rnbqkbnr/1p1p1ppp/p7/1Bp1p3/4P3/3P4/PPP2PPP/RNBQK1NR w KQkq - 0 4,44.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,25.0
r2qk2r/pbp1bpp1/1pnp1n1p/4p3/4P1N1/2PP3P/PP2BPP1/RNBQ1RK1 b kq - 1 9,20.0
8/pp2k1p1/7p/3R4/8/P1b5/1P3nPP/R5K1 w - - 0 25,975.0
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,31.0
3r1rk1/4qpb1/4b2p/1Bp1p1p1/1P2P3/2P2PQ1/4N2N/R2R2K1 b - - 0 28,-33.0
rn1q1rk1/1bpp1p1p/1p2p1pb/4P3/p1PP1P2/1P1Q3N/PB4PP/1K1R1B1R w - - 0 14,16.0
1qb1rbk1/1p3pp1/rNpp1n1p/p3p3/2P1P3/P2QBN1P/1PP2PP1/R4RK1 w - - 4 19,-22.0
r3bB2/4P3/1pp1R1k1/p2p1prp/P7/1P1P4/5KP1/7R b - - 1 33,-57.0
r1bqk2r/1pp2ppp/p1n1pn2/8/PbBP1B2/2N1PN2/1P3PPP/R2QK2R w KQkq - 2 9,91.0
1r2qr1k/5ppp/p7/PpbBpQ2/4P3/2PR3P/5PP1/1R4K1 b - - 4 23,15.0
rn1qk2r/p1b2ppp/1p2pn2/2Pp4/3P2b1/2NB1N1P/PP3PP1/R1BQ1RK1 b kq - 0 10,-35.0
r1b5/p2k3p/3p2p1/1p3n2/8/7Q/PPPNrPPP/R5K1 w - - 0 22,574.0
8/6p1/6kp/4P3/6P1/7P/3prP2/5RK1 w - - 0 38,-551.0
2r1r1k1/7p/p5p1/q2p1p2/3Pn3/P3PQ1P/6P1/R1B2RK1 w - - 0 22,-172.0
r2r2k1/1p3pp1/2p1p2p/n1q5/P2P4/2NQP3/5PPP/1R4K1 w - - 0 27,-577.0
6k1/p4r2/1pq5/2p3p1/1nQ5/2N1b1PK/PPP4P/R7 w - - 0 32,-432.0
2r3k1/6pp/p3pb2/1bB1N3/5P2/1P2P3/P6P/3RR2K w - - 2 34,605.0
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/3P1N1P/PPP2PP1/RNBQ1RK1 b kq - 3 6,-1.0
r2q1rk1/pp1n1pbp/2pp2p1/4p1P1/4Pn1P/P2P2N1/1PP2P2/R1BQK1NR w K - 1 15,-21.0
8/6p1/5p1p/Pk6/1P6/2B1N2P/5PP1/6K1 w - - 3 43,3455.0
8/7p/6p1/p1N1K3/6P1/5k2/8/8 b - - 2 48,624.0
rnb1k2r/ppp2ppp/8/4p3/1b2P3/2P2P2/PP4PP/R1BqKBNR w KQkq - 0 8,-23.0
r1bqkbnr/pppnpppp/3p4/8/4P3/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 3,-31.0
r2q1rk1/1pp1b1pp/p1np1n2/4p1N1/1P6/P2QB2P/2P2PP1/RN2R1K1 w - - 2 15,162.0
r4rk1/pp4pp/2p2nq1/3p3b/4p3/1PN1Q2P/PBPP1PP1/R4RK1 w - - 5 15,-25.0
r1bqk2r/ppp2Npp/2n2n2/2bpp3/2B5/4PQ2/PPPP1PPP/RNB1K2R b KQkq - 0 6,517.0
r1bqkbnr/pp1p1ppp/4p3/2p5/2B1P3/2P2n2/PP1P1PPP/RNBQK2R w KQkq - 0 6,22.0
5B2/8/2k4R/2P5/6p1/2K4P/7r/8 b - - 1 59,-691.0
