fen,score
r4rk1/ppqn1ppp/2p1pbb1/3n4/8/P2P1NNP/BPP2PP1/R1BQR1K1 w - - 3 14,-20.0
r1bq2k1/pp2b1pp/2p5/3pQ3/3P4/2N4P/PPP2PP1/R4RK1 b - - 0 15,244.0
rn2k2r/pppqpNbp/3p1np1/8/2B1P1b1/5P2/PPPP2PP/RNBQK2R w KQkq - 1 7,267.0
r4rk1/pQ4pp/2pbbn2/3pqp2/8/P1NBP3/1P3PPP/R1B1R1K1 w - - 1 15,10.0
5rk1/ppq2ppp/8/8/2pP4/2Pb1BP1/PP1N1Q1P/R5K1 b - - 3 23,495.0
r1bqkb1r/pp3ppp/2n2n2/2pp4/5P2/5N2/PPPPB1PP/RNBQK2R w KQkq - 2 7,-98.0
2r1r1k1/pp4pp/2n2pn1/5q2/2P5/PP1R1NQP/1B3PP1/3R2K1 w - - 1 27,164.0
rnbqkbnr/ppp1pppp/8/4P3/3p4/8/PPPP1PPP/RNBQKBNR w KQkq - 0 3,-3.0
rnbqkbnr/ppp2ppp/4p3/4P3/3p4/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,161.0
rn1qkbnr/ppp2ppp/3pb3/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,22.0
6k1/p5r1/1p6/3n3p/1P2K3/P4P2/2R5/8 b - - 5 46,-519.0
rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,12.0
3r2k1/p3bppp/1p2p3/4P3/bP2BP2/P3B3/6PP/R5K1 b - - 2 24,7.0
r2k2r1/p1ppn2p/bp2p3/7B/3bp2Q/8/P1P1KPPP/6R1 w - - 2 22,-431.0
4rrk1/p4ppp/1p6/2q5/1b6/4pP1N/PP2Q1PP/R1B2K1R w - - 7 18,42.0
2k2br1/3q4/p2ppPp1/1pp5/4PP2/1P3Q2/PBP5/2KR4 b - - 1 30,262.0
rnb1kbnr/pppp1ppp/4p3/8/3PP2q/5Q2/PPP2PPP/RNB1KBNR b KQkq - 2 3,89.0
2kr1b1r/p1p1pp1p/2p1b1p1/3N4/8/3P1P2/PPP1N1PP/R1B1K2R b KQ - 0 11,32.0
r3k2r/ppp1n1pp/2nb1p2/3N4/3P2b1/P3Q3/1P2NPPP/R3K2R w KQkq - 3 15,259.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-22.0
6k1/6p1/1r6/7p/8/7R/4K3/8 b - - 1 45,-503.0
8/6k1/R6p/4n3/6PK/4r3/7P/8 w - - 5 62,619.0
